x,y,z
-1.28,0.626,2.255
-1.298,0.825,2.247
-1.279,0.67,2.255
-1.284,0.932,2.247
-1.277,-0.221,2.255
-1.299,0.739,2.249
-1.276,0.421,2.252
-1.299,0.591,2.25
-1.282,-0.27,2.251
-1.28,-0.175,2.255
-1.281,-0.624,2.253
-1.284,0.381,2.242
-1.298,0.486,2.248
-1.279,0.967,2.231
-1.298,0.416,2.249
-1.284,-0.368,2.253
-1.297,0.518,2.246
-1.284,-0.438,2.253
-1.297,-0.156,2.249
-1.287,-0.276,2.249
-1.286,-0.12,2.248
-1.286,-0.48,2.245
-1.289,-0.522,2.246
-1.278,-0.382,2.247
-1.276,-0.079,2.233
-1.287,-0.329,2.246
-1.283,-0.412,2.246
-1.284,-0.573,2.247
-1.295,-0.23,2.245
-1.283,-0.631,2.239
-1.291,-0.663,2.193
-1.277,0.778,2.261
-1.276,0.824,2.259
-1.275,0.579,2.258
-1.274,0.523,2.256
-1.274,0.725,2.256
-1.273,0.474,2.255
-1.274,0.87,2.255
-1.273,0.911,2.254
-1.271,-0.465,2.256
-1.271,0.387,2.252
-1.27,-0.14,2.252
-1.269,-0.529,2.252
-1.269,-0.077,2.251
-1.269,0.609,2.249
-1.269,-0.313,2.251
-1.262,0.064,2.239
-1.268,-0.578,2.251
-1.264,-0.649,2.197
-1.251,0.043,2.221
-1.232,0.005,2.246
-1.225,0.726,2.256
-1.228,0.773,2.253
-1.221,0.681,2.256
-1.226,0.825,2.254
-1.222,0.872,2.252
-1.243,0.427,2.253
-1.243,0.904,2.252
-1.235,-0.617,2.233
-1.242,-0.076,2.254
-1.225,0.61,2.252
-1.228,0.923,2.238
-1.223,0.875,2.248
-1.219,0.475,2.253
-1.231,-0.172,2.251
-1.24,0.529,2.248
-1.232,0.471,2.249
-1.223,0.783,2.249
-1.222,0.629,2.247
-1.222,-0.119,2.251
-1.222,-0.227,2.251
-1.227,0.38,2.246
-1.228,-0.335,2.251
-1.239,-0.455,2.251
-1.24,-0.259,2.251
-1.239,-0.526,2.251
-1.214,-0.074,2.246
-1.215,-0.176,2.249
-1.218,-0.28,2.247
-1.239,-0.629,1.567
-1.214,-0.58,2.253
-1.221,-0.127,2.248
-1.23,0.575,2.244
-1.223,-0.372,2.245
-1.221,-0.226,2.248
-1.223,-0.486,2.247
-1.224,-0.53,2.246
-1.237,0.665,2.243
-1.226,0.061,2.241
-1.217,-0.423,2.246
-1.223,-0.571,2.247
-1.216,-0.32,2.246
-1.208,0.577,2.254
-1.207,0.526,2.253
-1.207,0.376,2.252
-1.205,0.929,2.141
-1.204,0.423,2.247
-1.204,-0.377,2.251
-1.204,-0.617,2.192
-1.189,-0.521,2.245
-1.186,-0.013,2.243
-1.183,-0.072,2.245
-1.198,-0.465,2.24
-1.178,0.065,2.233
-1.193,-0.603,2.232
-1.188,0.905,2.217
-1.18,0.726,2.254
-1.182,0.677,2.258
-1.181,0.767,2.256
-1.179,-0.382,2.257
-1.179,0.571,2.252
-1.179,0.62,2.252
-1.179,0.39,2.254
-1.179,0.833,2.251
